"ABC 7 Chicago" 	41.8755616 -87.6244212
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Actor\'s Studio" 	40.7127281 -74.0060152
"Adventures in Music" 	34.093214 -118.3196124
"Amanda" 	40.7127281 -74.0060152
"America\'s Town Meeting" 	40.7127281 -74.0060152
