"ABC News" 	-42.8825088 147.3281233
"ABC News" 	-37.8142176 144.9631608
"ABC News" 	-37.8142176 144.9631608
"ABC News" 	-33.8536692 151.2133527
"ABC News" 	-34.9281805 138.5999312
"ABC News" 	-27.4689682 153.0234991
"ABC News" 	-35.2975906 149.1012676
"ABC News" 	-12.46044 130.8410469
"ABC News" 	-31.9527121 115.8604796
"ABC News" 	-33.8536692 151.2133527
"Adventure Theater" 	51.48860355 -0.22746502822660472
"Adventure Theater" 	51.48860355 -0.22746502822660472
"Adventure Theater" 	51.48860355 -0.22746502822660472
"Adventure Theater" 	51.48860355 -0.22746502822660472
"Adventure Theater" 	51.48860355 -0.22746502822660472
"Adventure Theater" 	51.48860355 -0.22746502822660472
"Adventure Theater" 	51.48860355 -0.22746502822660472
"Adventure Theater" 	51.48860355 -0.22746502822660472
"Adventure Theater" 	51.48860355 -0.22746502822660472
"Adventure Theater" 	51.48860355 -0.22746502822660472
"Adventure Theater" 	51.48860355 -0.22746502822660472
"Adventure in Dairyland" 	42.9905492 -89.5335575
"Airs de France" 	48.8566969 2.3514616
"Airs de France" 	48.8566969 2.3514616
"Airs de France" 	48.8566969 2.3514616
"Alan Melville Takes You from A-Z" 	52.949768 -1.1398745498768668
"Alan Melville Takes You from A-Z" 	52.949768 -1.1398745498768668
"Alan Melville Takes You from A-Z" 	52.949768 -1.1398745498768668
"Alan Melville Takes You from A-Z" 	52.949768 -1.1398745498768668
"Alias Mike Hercules" 	34.0211224 -118.3964665
