"Accent on an American Summer" 	39.5261206 -119.8126581
"Accent on an American Summer" 	44.4648021 -110.8247619
"Actualidades" 	19.0974031 -70.3028026
"Adi�	19.4326296 -99.1331785
"Altanera Evangelina Garret" 	-34.9964963 -64.9672817
"Altanera Evangelina Garret" 	-34.9964963 -64.9672817
"Altanera Evangelina Garret" 	-34.9964963 -64.9672817
"Altanera Evangelina Garret" 	-34.9964963 -64.9672817
"Amelia no vendr�" 	-34.9964963 -64.9672817
"Animal Magic" 	51.46342645 -2.6223370217401194
"Animal Magic" 	-6.5247123 35.7878438
"Animal Magic" 	47.5581077 7.5878261
"Animal Magic" 	51.46342645 -2.6223370217401194
"Animal Magic" 	53.861171549999995 -2.547111540310474
"Animal Magic" 	52.241001350000005 1.0466830312565236
"Animal Magic" 	67.2119594 23.364914370397386
"Animal Magic" 	7.5554942 80.7137847
"Animal Magic" 	54.7023545 -3.2765753
