"11pm" 	34.6198813 135.490357
"11pm" 	35.6828387 139.7594549
"1965 World Series" 	39.7837304 -100.4458825
"1965 World Series" 	39.7837304 -100.4458825
"1965 World Series" 	34.0536909 -118.2427666
"1965 World Series" 	34.0536909 -118.2427666
"1965 World Series" 	34.0536909 -118.2427666
"1965 World Series" 	44.9772995 -93.2654692
"1965 World Series" 	44.9772995 -93.2654692
"9th Street West" 	34.0536909 -118.2427666
"A Man Called Shenandoah" 	32.2228765 -110.9748477
"A Man Called Shenandoah" 	33.3710715 -111.42618498017515
"A Man Called Shenandoah" 	36.945542 -112.5265889
"A Man Called Shenandoah" 	36.9902621 -112.9757702
"A Man Called Shenandoah" 	37.6268015 -118.84674999730211
"A Man Called Shenandoah" 	34.6981064 -118.1366153
"A Man Called Shenandoah" 	34.8184036 -114.6011118
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
"A Man Called Shenandoah" 	34.0211224 -118.3964665
