"8 ji dayo! zen\'in sh�g�" 	35.6828387 139.7594549
"Abelardo Pardales" 	-34.9964963 -64.9672817
"Abelardo Pardales" 	-34.9964963 -64.9672817
"Acri Creature Feature" 	41.453089 -90.5720803
"Adventures in Rainbow Country" 	61.0666922 -107.9917071
"Adventures in Rainbow Country" 	46.265341 -81.769867
"Adventures in Rainbow Country" 	45.9167876 -82.4640868
"Adventures in Rainbow Country" 	43.702176 -79.387402
"Adventures in Rainbow Country" 	46.2701321 -81.883919
"Adventures in Rainbow Country" 	48.3568422 -83.6730805
"Adventures in Rainbow Country" 	46.1302943 -81.7210771
"Adventures in Rainbow Country" 	48.3568422 -83.6730805
"Ajankohtainen kakkonen" 	61.510891799999996 23.65192450310521
"Ajankohtainen kakkonen" 	61.510891799999996 23.65192450310521
