"...e le stelle stanno a guardare" 	43.0501033 10.888059
"...e le stelle stanno a guardare" 	42.8016536 10.7307001
"1971 World Series" 	39.7837304 -100.4458825
"1971 World Series" 	40.4416941 -79.9900861
"A Current Affair" 	34.0536909 -118.2427666
"A Current Affair" 	-37.8142176 144.9631608
"A Current Affair" 	-31.9527121 115.8604796
"A Current Affair" 	40.7127281 -74.0060152
"A View of the Islands" 	54.7023545 -3.2765753
"A View of the Islands" 	54.7023545 -3.2765753
"A View of the Islands" 	54.7023545 -3.2765753
"A View of the Islands" 	54.7023545 -3.2765753
"A la buena de Dios" 	-34.9964963 -64.9672817
"A la buena de Dios" 	-34.9964963 -64.9672817
"A la buena de Dios" 	-34.9964963 -64.9672817
"A la buena de Dios" 	-34.9964963 -64.9672817
"A la buena de Dios" 	-34.9964963 -64.9672817
"A la buena de Dios" 	-34.9964963 -64.9672817
"A la buena de Dios" 	-34.9964963 -64.9672817
"A la buena de Dios" 	-34.9964963 -64.9672817
"A la buena de Dios" 	-34.9964963 -64.9672817
"Alias Smith and Jones" 	33.3710715 -111.42618498017515
"Alias Smith and Jones" 	32.2228765 -110.9748477
"Alias Smith and Jones" 	34.1446643 -118.6440973
"Alias Smith and Jones" 	36.6042366 -118.06305838975558
"Alias Smith and Jones" 	38.7315573 -109.56302781715105
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	39.45903585 -111.22590881417281
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	36.773557 -121.737165
"Alias Smith and Jones" 	39.7837304 -100.4458825
"Alias Smith and Jones" 	39.7837304 -100.4458825
"Alias Smith and Jones" 	38.6792807 -109.4455
"Alias Smith and Jones" 	38.5738096 -109.5462146
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	36.7014631 -118.7559974
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	38.7315573 -109.56302781715105
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	39.7837304 -100.4458825
"Alias Smith and Jones" 	39.4225192 -111.7143584
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	34.1412926 -118.3584364
"Alias Smith and Jones" 	39.7837304 -100.4458825
"Alias Smith and Jones" 	39.7837304 -100.4458825
"Alias Smith and Jones" 	39.7837304 -100.4458825
"Alias Smith and Jones" 	39.7837304 -100.4458825
"Alias Smith and Jones" 	39.7837304 -100.4458825
"Alias Smith and Jones" 	39.7837304 -100.4458825
"Alias Smith and Jones" 	39.7837304 -100.4458825
"Alias Smith and Jones" 	39.7837304 -100.4458825
"Alias Smith and Jones" 	39.7837304 -100.4458825
"Alias Smith and Jones" 	39.7837304 -100.4458825
"Alias Smith and Jones" 	39.7837304 -100.4458825
"All About Faces" 	43.653963 -79.387207
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.075322799999995 -118.35925867857391
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	39.7837304 -100.4458825
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
"All in the Family" 	34.0536909 -118.2427666
