"1972 American League Championship Series" 	37.8044557 -122.2713563
"ABC Afterschool Specials" 	44.9772995 -93.2654692
"ABC Afterschool Specials" 	40.7127281 -74.0060152
"ABC Afterschool Specials" 	40.7896239 -73.9598939
"ABC Afterschool Specials" 	40.7127281 -74.0060152
"ABC Afterschool Specials" 	40.9312099 -73.8987469
"ABC Afterschool Specials" 	40.7870455 -73.9754163
"ABC Afterschool Specials" 	40.8120247 -74.1242816
"ABC Afterschool Specials" 	41.3873306 -74.2507287
"ABC Afterschool Specials" 	41.1763139 -73.7907554
"ABC Afterschool Specials" 	40.7127281 -74.0060152
"ABC Afterschool Specials" 	40.9406541 -73.9968051
"ABC Afterschool Specials" 	40.8245442 -74.2845925
"ABC Afterschool Specials" 	41.2295386 -73.9870847
"ABC Afterschool Specials" 	33.9708782 -118.0308396
"ABC Afterschool Specials" 	40.7827725 -73.9653627406542
"ABC Afterschool Specials" 	40.7127281 -74.0060152
"ABC Afterschool Specials" 	41.09601535 -74.01596526584578
"ABC Afterschool Specials" 	40.7281575 -74.0776417
"ABC Afterschool Specials" 	40.7127281 -74.0060152
"ABC Afterschool Specials" 	42.7777829 -71.0767724
"ABC Afterschool Specials" 	40.7127281 -74.0060152
"ABC Afterschool Specials" 	40.9312099 -73.8987469
"ABC Afterschool Specials" 	34.0536909 -118.2427666
"ABC Afterschool Specials" 	34.0463986 -118.448135
"ABC Afterschool Specials" 	40.85172235 -73.09921882199973
"ABC Afterschool Specials" 	40.7127281 -74.0060152
"ABC Afterschool Specials" 	34.1508718 -118.4489865
"Acht Stunden sind kein Tag" 	50.938361 6.959974
"Acht Stunden sind kein Tag" 	51.0834196 10.4234469
"Alexander Zwo" 	46.7985624 8.2319736
"Almost Home" 	48.4028378 -89.6254131
"Almost Home" 	45.756311499999995 -82.21460502374313
"Almost Home" 	43.100983 -79.115295
"Almost Home" 	44.107556 -79.127655
"Almost Home" 	44.001387 -79.682541
"Almost Home" 	43.9201118 -79.5270426
