"$50,000 Letterbox" 	-31.9527121 115.8604796
"1980 American League Championship Series" 	39.100105 -94.5781416
"1980 Presidential Debates" 	39.284749399999995 -76.62047463969989
"1980 Presidential Debates" 	41.5051613 -81.6934446
"A Industria Regionalizada" 	40.0332629 -7.8896263
"A Industria Regionalizada" 	40.0332629 -7.8896263
"A Portrait of Robert Runcie" 	52.7954791 -0.5402402866174321
"A Rumor of War" 	37.1205328 -121.6733214
"A Rumor of War" 	33.35453425 -117.42417276260397
"A Rumor of War" 	19.4326296 -99.1331785
"A Rumor of War" 	20.6407176 -105.2203066
"A Rumor of War" 	17.9888123 -92.9801608
"A Tale of Two Cities" 	49.2291856 -2.2343313
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	36.1672559 -115.1485163
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
"ABC News Nightline" 	39.7837304 -100.4458825
