"\'Allo \'Allo!" 	51.6589044 -0.27566775500000334
"\'Allo \'Allo!" 	51.5073219 -0.1276474
"\'Allo \'Allo!" 	52.5821658 0.3562854
"\'Allo \'Allo!" 	52.7064097 0.8244011
"\'Allo \'Allo!" 	53.77373585 -1.5389984900034892
"\'Allo \'Allo!" 	52.51433585 0.679956025662916
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.666667 1.0
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
"\'Allo \'Allo!" 	52.7954791 -0.5402402866174321
