"1945" 	-28.8166236 24.991639
":20 Minute Workout" 	43.653963 -79.387207
"A Festa Continua" 	38.7077507 -9.1365919
"A Floresta Portuguesa" 	40.0332629 -7.8896263
"A Floresta Portuguesa" 	40.0332629 -7.8896263
"A Floresta Portuguesa" 	41.839297 -7.95918
"A Floresta Portuguesa" 	38.7077507 -9.1365919
"A Floresta Portuguesa" 	40.0332629 -7.8896263
"A Floresta Portuguesa" 	40.0332629 -7.8896263
"A Floresta Portuguesa" 	41.839297 -7.95918
"A Floresta Portuguesa" 	38.0551003 -7.8605799
"A Floresta Portuguesa" 	40.0332629 -7.8896263
"A Floresta Portuguesa" 	39.9161947 -8.6282264
"A Floresta Portuguesa" 	41.839297 -7.95918
"A Floresta Portuguesa" 	40.0332629 -7.8896263
"A Floresta Portuguesa" 	41.839297 -7.95918
"A Floresta Portuguesa" 	40.0332629 -7.8896263
"A Floresta Portuguesa" 	38.9369782 -9.3282374
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	38.6268039 -90.1994097
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"After MASH" 	34.0536909 -118.2427666
"Against the Odds" 	34.0536909 -118.2427666
"All the Rivers Run" 	-37.8142176 144.9631608
"All the Rivers Run" 	-36.1281405 144.7516955
"All the Rivers Run" 	-34.0238625 140.77468455914368
"All the Rivers Run" 	-30.5343665 135.6301212
"All the Rivers Run" 	-34.347841 139.6022958
"All the Rivers Run" 	-32.7969818 116.4585424
"All the Rivers Run" 	-36.5986096 144.6780052
"All the Rivers Run" 	-37.818726 144.96849
"All the Rivers Run" 	-36.1021877 146.9256672
