"1985 World Series" 	38.6268039 -90.1994097
"1985 World Series" 	39.100105 -94.5781416
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.1412926 -118.3584364
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	39.7837304 -100.4458825
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	39.7837304 -100.4458825
"227" 	39.7837304 -100.4458825
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	39.7837304 -100.4458825
"227" 	39.7837304 -100.4458825
"227" 	39.7837304 -100.4458825
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	39.7837304 -100.4458825
"227" 	39.7837304 -100.4458825
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	39.7837304 -100.4458825
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	39.7837304 -100.4458825
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.1412926 -118.3584364
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	39.7837304 -100.4458825
"227" 	39.7837304 -100.4458825
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	39.7837304 -100.4458825
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	39.7837304 -100.4458825
"227" 	39.7837304 -100.4458825
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	39.7837304 -100.4458825
"227" 	39.7837304 -100.4458825
"227" 	39.7837304 -100.4458825
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	39.7837304 -100.4458825
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	39.7837304 -100.4458825
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	39.7837304 -100.4458825
"227" 	39.7837304 -100.4458825
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	39.7837304 -100.4458825
"227" 	39.7837304 -100.4458825
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"227" 	34.0536909 -118.2427666
"5 dni z zycia emeryta" 	52.215933 19.134422
"6 en punto" 	19.4326296 -99.1331785
"A Fortunate Life" 	-25.2303005 121.0187246
"A Thousand Skies" 	-16.4845983 145.4636294
"A Thousand Skies" 	-33.8333914 138.6120042
"A Thousand Skies" 	-31.497 138.545
"A Thousand Skies" 	-31.8876169 138.4227131
"A Thousand Skies" 	-22.1646782 144.5844903
"A Thousand Skies" 	-30.5343665 135.6301212
"A Thousand Skies" 	-36.5986096 144.6780052
"A.D." 	33.8439408 9.400138
"A.D." 	33.8439408 9.400138
"A.D." 	33.8439408 9.400138
"A.D." 	33.8439408 9.400138
"A.D." 	33.8439408 9.400138
"Abandonada" 	19.4326296 -99.1331785
"About Time" 	46.1532703 6.4935045
"Acimak" 	41.0766019 29.052495
"Akhri Chattan" 	30.3308401 71.247499
"Akko ni omakase!" 	35.6828387 139.7594549
"Al ragol allathy fakada dhakeratoh marratein" 	26.2540493 29.2675469
"Albion Market" 	53.4877463 -2.2891921
"Alfred Hitchcock Presents" 	43.653963 -79.387207
"Alltagsgeschichten" 	19.0974031 -70.3028026
"Alltagsgeschichten" 	48.2083537 16.3725042
"Alltagsgeschichten" 	48.2083537 16.3725042
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	39.7837304 -100.4458825
"Amazing Stories" 	34.0536909 -118.2427666
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.0536909 -118.2427666
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"Amazing Stories" 	34.1412926 -118.3584364
"American Masters" 	36.7095788 -81.9774878
"American Masters" 	42.3602534 -71.0582912
"American Masters" 	53.3497645 -6.2602732
"American Masters" 	29.299328 -94.7945882
"American Masters" 	43.6589011 6.9239103
"American Masters" 	40.4233142 -104.7091322
"American Masters" 	34.0536909 -118.2427666
"American Masters" 	40.7127281 -74.0060152
"American Masters" 	43.08436 -79.0614686
"American Masters" 	48.8566969 2.3514616
"American Masters" 	39.9527237 -75.1635262
"American Masters" 	40.7375 -73.9875
"American Masters" 	38.8948932 -77.0365529
"American Masters" 	40.7127281 -74.0060152
"American Masters" 	41.9268754 -73.9126639
"American Masters" 	37.7790262 -122.4199061
"American Masters" 	48.8035403 2.1266886
"American Masters" 	38.8948932 -77.0365529
"American Masters" 	42.3602534 -71.0582912
"American Masters" 	43.680741 -114.363662
"American Masters" 	39.3262345 -4.8380649
"American Masters" 	39.7837304 -100.4458825
"American Masters" 	40.7896239 -73.9598939
"American Masters" 	44.9504037 -93.1015026
"American Masters" 	37.9735346 -122.5310874
"American Masters" 	35.1490215 -90.0516285
"American Masters" 	64.4459613 -149.680909
"American Masters" 	27.7567667 -81.4639835
"American Masters" 	32.3293809 -83.1137366
"American Masters" 	39.7837304 -100.4458825
"American Masters" 	37.84054795 -119.51658779802511
"American Masters" 	34.0536909 -118.2427666
"American Masters" 	36.1622296 -86.7743531
"American Masters" 	40.7127281 -74.0060152
"American Masters" 	43.0116784 -88.2314813
"American Masters" 	41.6500201 -72.7342163
"American Masters" 	47.427155 -92.937689
"American Masters" 	39.7837304 -100.4458825
"American Masters" 	33.7490987 -84.3901849
"American Masters" 	32.753177 -97.3327459
"American Masters" 	44.9772995 -93.2654692
"American Masters" 	41.1458207 -73.4963532
"American Masters" 	40.7127281 -74.0060152
"American Masters" 	40.85172235 -73.09921882199973
"American Masters" 	34.0536909 -118.2427666
"American Masters" 	37.7790262 -122.4199061
"American Masters" 	41.856439 -87.6110589
"American Masters" 	24.3385 -75.61499318805444
"American Masters" 	33.8347516 -117.911732
"American Masters" 	34.0536909 -118.2427666
"American Masters" 	52.5176896 13.4023757
"American Masters" 	39.7837304 -100.4458825
"American Masters" 	39.3262345 -4.8380649
"American Masters" 	56.4605938 -2.97019
"American Masters" 	34.0250724 -118.4965129
"American Masters" 	51.0834196 10.4234469
"American Masters" 	34.0536909 -118.2427666
"American Masters" 	38.8948932 -77.0365529
"American Masters" 	42.205699100000004 -83.35297537621658
"American Masters" 	39.7837304 -100.4458825
"American Masters" 	23.135305 -82.3589631
"American Masters" 	40.7720145 -73.9302673
"American Masters" 	34.093214 -118.3196124
"American Masters" 	40.7127281 -74.0060152
"American Masters" 	43.5515198 7.0134418
"American Masters" 	39.7837304 -100.4458825
"American Masters" 	51.5073219 -0.1276474
"American Masters" 	40.7896239 -73.9598939
"American Masters" 	41.3828939 2.1774322
"American Masters" 	40.7127281 -74.0060152
"American Masters" 	43.5515198 7.0134418
"American Masters" 	51.5073219 -0.1276474
"American Masters" 	34.0536909 -118.2427666
"American Masters" 	40.7127281 -74.0060152
"American Masters" 	34.093214 -118.3196124
"American Masters" 	34.1816482 -118.3258554
"American Masters" 	39.7837304 -100.4458825
"American Masters" 	40.7896239 -73.9598939
"American Masters" 	34.0536909 -118.2427666
"American Masters" 	40.757280550000004 -73.98585503545917
"American Masters" 	40.7127281 -74.0060152
"American Masters" 	40.7127281 -74.0060152
"American Masters" 	40.7127281 -74.0060152
"Animais" 	40.0332629 -7.8896263
"Animais" 	32.751748750000004 -16.981752048847362
"Animais" 	40.0332629 -7.8896263
"Animais" 	40.0332629 -7.8896263
"Animais" 	40.0332629 -7.8896263
"Animais" 	40.0332629 -7.8896263
"Animais" 	40.0332629 -7.8896263
"Animais" 	40.4358994 -7.516865473467464
"Animais" 	40.0332629 -7.8896263
"Animais" 	40.0332629 -7.8896263
"Anna of the Five Towns" 	54.2358167 -4.514598745698255
"Anne of Green Gables" 	43.653963 -79.387207
"Anne of Green Gables" 	43.6866123 -79.2728346
"Anne of Green Gables" 	43.466874 -80.524635
"Anne of Green Gables" 	43.2694696 -79.884192
"Anne of Green Gables" 	43.653963 -79.387207
"Anne of Green Gables" 	61.0666922 -107.9917071
"Anne of Green Gables" 	61.0666922 -107.9917071
"Anne of Green Gables" 	43.835765 -79.090576
"Anne of Green Gables" 	61.0666922 -107.9917071
