"10 om te zien" 	50.6402809 4.6667145
"10 om te zien" 	50.879202 4.7011675
"10x10" 	54.7023545 -3.2765753
"13 East" 	34.093214 -118.3196124
"13 East" 	32.8295183 -96.9442177
"3 News" 	-41.5000831 172.8344077
"4 Play" 	51.5073219 -0.1276474
"6 O\'Clock Live" 	51.5073219 -0.1276474
"A Bit of a Do" 	54.091592750000004 -1.535911258050148
"A Bit of a Do" 	53.865648199999995 -1.6844686630190253
"A Fine Romance" 	35.8885993 14.4476911
"A Fine Romance" 	48.8566969 2.3514616
"A Fine Romance" 	35.8885993 14.4476911
"A Grande Aventura" 	38.7162531 -9.1397928
"A Grande Aventura" 	40.0332629 -7.8896263
"A Grande Aventura" 	38.565959 -8.900294804417523
"A Grande Aventura" 	40.0332629 -7.8896263
"A Hora do Lecas" 	38.7077507 -9.1365919
"A Man Called Hawk" 	38.8948932 -77.0365529
"A Man Called Hawk" 	38.8948932 -77.0365529
"A Porta" 	40.0332629 -7.8896263
"A debat" 	41.3828939 2.1774322
"Acropolis Now" 	-37.8142176 144.9631608
"Acropolis Now" 	-37.8142176 144.9631608
"Act of Will" 	52.7954791 -0.5402402866174321
"Act of Will" 	46.603354 1.8883335
"Act of Will" 	51.54831515 -0.5346765566753087
"Aftenhistorier" 	55.670249 10.3333283
"Agatha Christie\'s Poirot" 	51.5214637 -0.0997845
"Agatha Christie\'s Poirot" 	51.5206495 -0.0987241
"Agatha Christie\'s Poirot" 	51.5073219 -0.1276474
"Agatha Christie\'s Poirot" 	51.546055800000005 -0.2537791389340719
"Agatha Christie\'s Poirot" 	51.0 -0.416667
"Agatha Christie\'s Poirot" 	51.083333 -1.166667
"Agatha Christie\'s Poirot" 	33.5950627 -7.6187768
"Agatha Christie\'s Poirot" 	33.2336952 -8.500424800741666
"Agatha Christie\'s Poirot" 	54.7023545 -3.2765753
"Agatha Christie\'s Poirot" 	51.5023975 -0.1776843914853914
"Agatha Christie\'s Poirot" 	51.5073219 -0.1276474
"Agatha Christie\'s Poirot" 	51.833333 -1.25
"Agatha Christie\'s Poirot" 	51.6583828 -0.9943401519552595
"Agatha Christie\'s Poirot" 	50.38614235 -3.5799626623930165
"Agatha Christie\'s Poirot" 	51.1709647 -0.4566856
"Agatha Christie\'s Poirot" 	51.456256499999995 -0.3176999532315733
"Agatha Christie\'s Poirot" 	51.0 -0.416667
"Agatha Christie\'s Poirot" 	48.8639905 2.2965215131311423
"Agatha Christie\'s Poirot" 	25.740189 32.60196923815269
"Agatha Christie\'s Poirot" 	26.2540493 29.2675469
"Agatha Christie\'s Poirot" 	25.7187213 32.6574682885218
"Agatha Christie\'s Poirot" 	51.44705265 0.04791081946563762
"Agatha Christie\'s Poirot" 	51.456256499999995 -0.3176999532315733
