"...i Hetluften" 	59.6749712 14.5208584
"1994 Olympic Winter Games" 	61.1333408 10.426585544131413
"37 Grad" 	50.8681341 9.7068481
"37 Grad" 	51.434999 6.759562
"37 Grad" 	52.3600379 9.73000838304105
"37 Grad" 	51.0834196 10.4234469
"37 Grad" 	51.0834196 10.4234469
"37 Grad" 	51.0834196 10.4234469
"37 Grad" 	52.4976443 13.411914
"37 Grad" 	52.5170365 13.3888599
"37 Grad" 	51.0834196 10.4234469
"37 Grad" 	53.86878 8.698286
"37 Grad" 	51.2155477 6.7612602
"37 Grad" 	59.9606739 30.1586551
"37 Grad" 	53.198627 50.113987
"37 Grad" 	51.4781796 7.5542336
"37 Grad" 	-20.2759451 57.5703566
"37 Grad" 	-8.8733104 -140.1245634540394
"37 Grad" 	-9.73116465 -138.9787470714598
"37 Grad" 	-8.9400481 -140.1690821
"37 Grad" 	51.0834196 10.4234469
"37 Grad" 	-8.9070142 -140.1656922
"37 Grad" 	-16.03442485 -146.0490931059517
"37 Grad" 	-16.03442485 -146.0490931059517
"37 Grad" 	-16.03442485 -146.0490931059517
"37 Grad" 	48.1371079 11.5753822
"37 Grad" 	47.7981346 13.0464806
"50/50" 	-28.8166236 24.991639
"86-60-86" 	38.7077507 -9.1365919
"A Dark Adapted Eye" 	52.241001350000005 1.0466830312565236
"A Dark Adapted Eye" 	52.241001350000005 1.0466830312565236
"A Filha da Corn�lia" 	38.7077507 -9.1365919
"A Mind to Kill" 	52.2928116 -3.73893
"A Mulher do Sr. Ministro" 	38.7027644 -9.3626611
"A Parliament of Souls" 	41.8755616 -87.6244212
"A flor de piel" 	19.4326296 -99.1331785
"A su servicio" 	40.4167047 -3.7035825
"AQP Show" 	25.7742658 -80.1936589
"Aardvark" 	43.597646 -84.7668495
"Aardvark" 	43.4200387 -83.9490365
"Against All Odds" 	45.813177 15.977048
"Ain\'t Misbehavin" 	53.9921491 -1.5391039
"Alejandra" 	10.506098 -66.9146017
"Alejandra" 	8.0018709 -66.1109318
"All Quiet on the Preston Front" 	53.8014807 -2.3183574
"All Quiet on the Preston Front" 	53.861171549999995 -2.547111540310474
"All Quiet on the Preston Front" 	53.861171549999995 -2.547111540310474
"All Quiet on the Preston Front" 	52.2109495 -2.156955513242221
"All Quiet on the Preston Front" 	53.861171549999995 -2.547111540310474
"All Quiet on the Preston Front" 	53.861171549999995 -2.547111540310474
"All That" 	28.5421109 -81.3790304
"All That" 	34.0536909 -118.2427666
"All That" 	28.5421109 -81.3790304
"All You Need Is Love" 	40.0332629 -7.8896263
"All You Need Is Love" 	40.0332629 -7.8896263
"All-American Girl" 	34.1816482 -118.3258554
"All-American Girl" 	34.1816482 -118.3258554
"All-American Girl" 	34.1816482 -118.3258554
"All-American Girl" 	34.1816482 -118.3258554
"All-American Girl" 	34.1816482 -118.3258554
"All-American Girl" 	34.1816482 -118.3258554
"All-American Girl" 	34.1816482 -118.3258554
"All-American Girl" 	34.1816482 -118.3258554
"All-American Girl" 	34.1816482 -118.3258554
"All-American Girl" 	34.1816482 -118.3258554
"All-American Girl" 	34.1816482 -118.3258554
"All-American Girl" 	34.1816482 -118.3258554
"All-American Girl" 	34.1816482 -118.3258554
"All-American Girl" 	34.1816482 -118.3258554
"All-American Girl" 	34.1816482 -118.3258554
"All-American Girl" 	34.1816482 -118.3258554
"All-American Girl" 	34.1816482 -118.3258554
"All-American Girl" 	34.1816482 -118.3258554
"All-American Girl" 	34.1816482 -118.3258554
"All-American Girl" 	34.1816482 -118.3258554
"Alle kinderen de deur uit" 	52.23158695 5.173493602392345
"Allegra\'s Window" 	28.5421109 -81.3790304
"Allegra\'s Window" 	28.5421109 -81.3790304
"Allegra\'s Window" 	28.5421109 -81.3790304
"Alles au�er Mord!" 	51.0834196 10.4234469
"Alles au�er Mord!" 	51.0834196 10.4234469
"Alles au�er Mord!" 	51.0834196 10.4234469
