"\'Sang linggo nAPO sila" 	12.7503486 122.7312101
"10-07: L\'affaire Zeus" 	61.0666922 -107.9917071
"1001 Tardes" 	38.7077507 -9.1365919
"18:30" 	52.5170365 13.3888599
"A Film �s... I.-XIV" 	39.7837304 -100.4458825
"A Film �s... I.-XIV" 	46.603354 1.8883335
"A Film �s... I.-XIV" 	31.5313113 34.8667654
"A Film �s... I.-XIV" 	52.215933 19.134422
"A Film �s... I.-XIV" 	42.6384261 12.674297
"A Film �s... I.-XIV" 	49.8167003 15.4749544
"A Taste of Shakespeare" 	34.0536909 -118.2427666
"A Taste of Shakespeare" 	43.653963 -79.387207
"A Whole New Ballgame" 	43.0349931 -87.922497
"A Woman of Independent Means" 	29.299328 -94.7945882
"A Woman of Independent Means" 	29.7589382 -95.3676974
"A.S." 	52.5170365 13.3888599
"A.S." 	52.5170365 13.3888599
"A.S." 	52.5170365 13.3888599
"A.S." 	52.5170365 13.3888599
"A.S." 	52.5170365 13.3888599
"A.S." 	52.5170365 13.3888599
"A.S." 	52.5170365 13.3888599
"A.S." 	52.5170365 13.3888599
"A.S." 	52.5170365 13.3888599
"A.S." 	52.5170365 13.3888599
"A.S." 	52.5170365 13.3888599
"A.S." 	52.5170365 13.3888599
"A.S." 	52.5170365 13.3888599
"A.S." 	52.5170365 13.3888599
"ASAP" 	14.6509905 121.0486155
"Academy Live" 	28.5421109 -81.3790304
"Acapulco Bay" 	16.8680495 -99.8940182
"Acapulco Bay" 	19.4326296 -99.1331785
"Acapulco Bay" 	19.34476565 -99.20394733773142
"Acapulc	16.8680495 -99.8940182
"Acapulc	19.4326296 -99.1331785
"Acapulc	17.6467874 -101.5519746
"Al son del amor" 	18.22141715 -66.4132818505648
"Al son del amor" 	18.22141715 -66.4132818505648
"Al son del amor" 	18.465299 -66.116666
"Al son del amor" 	18.0976281 -66.9391004
"Alle meine T�chter" 	51.0834196 10.4234469
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Almost Perfect" 	34.0536909 -118.2427666
"Alondra" 	24.833333 -104.833333
"Alondra" 	19.4326296 -99.1331785
"Alys Robi" 	61.0666922 -107.9917071
"Alys Robi" 	61.0666922 -107.9917071
"Alys Robi" 	23.135305 -82.3589631
"Alys Robi" 	23.135305 -82.3589631
"Alys Robi" 	61.0666922 -107.9917071
"Alys Robi" 	23.135305 -82.3589631
"Alys Robi" 	61.0666922 -107.9917071
"Am I Nuts?" 	40.7127281 -74.0060152
"Am Schauplatz" 	1.4419683 38.4313975
"Am Schauplatz" 	47.2000338 13.199959
"Amazing Grace" 	47.6742994 -116.7811531
"Amb el cor a la m�" 	41.3828939 2.1774322
"American Cinema" 	34.0536909 -118.2427666
"American Cinema" 	40.7127281 -74.0060152
"American Gothic" 	34.2257282 -77.9447107
"Amigovios" 	-34.9964963 -64.9672817
"Amigovios" 	-34.9964963 -64.9672817
"Amigovios" 	-34.9964963 -64.9672817
"Amigovios" 	-34.9964963 -64.9672817
"Amma and Family" 	22.3511148 78.6677428
"Amma and Family" 	28.6141793 77.2022662
"An Independent Man" 	51.2715316 -0.3414523511290909
"An Independent Man" 	51.2715316 -0.3414523511290909
"An Independent Man" 	51.2715316 -0.3414523511290909
"An Independent Man" 	51.2715316 -0.3414523511290909
"An Independent Man" 	51.2715316 -0.3414523511290909
"An Independent Man" 	51.2715316 -0.3414523511290909
"An Independent Man" 	51.2715316 -0.3414523511290909
"Andaz" 	18.9387711 72.8353355
