"1998 Stanley Cup Finals" 	42.3252704 -83.0526881
"1998 Stanley Cup Finals" 	38.8948932 -77.0365529
"1998 Stanley Cup Finals" 	42.3315509 -83.0466403
"1998 Stanley Cup Finals" 	42.3315509 -83.0466403
"1998 Stanley Cup Finals" 	38.8948932 -77.0365529
"1998 Stanley Cup Finals" 	38.8948932 -77.0365529
"2Rock" 	51.4916123 -0.193903
"37 Honey Street" 	-28.8166236 24.991639
"A Child\'s Dream" 	61.0666922 -107.9917071
"A Difficult Woman" 	-33.8536692 151.2133527
"A Parcel of Rogues" 	56.7861112 -4.1140518
"A Parcel of Rogues" 	51.5013562 -0.1249302
"A Place in the Sun" 	39.1911128 -106.8235606
"A Place in the Sun" 	33.1580933 -117.3505966
"A Place in the Sun" 	32.9594891 -117.2653146
"A Place in the Sun" 	34.035591 -118.689423
"A Place in the Sun" 	25.7929198 -80.1353006
"A Place in the Sun" 	45.1307013 -79.3839611
"A Place in the Sun" 	24.7736546 -78.0000547
"A Place in the Sun" 	43.653963 -79.387207
"A Place in the Sun" 	49.2608724 -123.1139529
"A Place in the Sun" 	50.1171903 -122.9543022
"A Respectable Trade" 	51.3808085 -2.3569441
"A Respectable Trade" 	51.38623835 -2.3650584347196446
"A Respectable Trade" 	51.3813864 -2.3596963
"A Respectable Trade" 	50.3329873 -4.7577601
"A Respectable Trade" 	51.435028200000005 -2.1825371381642285
"A Scattering of Seeds" 	43.653963 -79.387207
"A Turma do Perer�" 	-21.1104688 -44.1742937
"A Twist in the Tale" 	-41.2887953 174.7772114
"A Will of Their Own" 	38.5200504 -89.9839935
"A Will of Their Own" 	38.7877791 -90.6747372
"A Will of Their Own" 	38.6268039 -90.1994097
"A Will of Their Own" 	38.6569083 -90.3103443
"ABC News Nightline: Betting Without Borders" 	17.0855891 -61.79456028639201
"Abgedreht" 	48.536217 12.1516551
"Affet bizi hocam" 	41.0766019 29.052495
"Africa: Search for Common Ground" 	-11.8775768 17.5691241
"Africa: Search for Common Ground" 	-3.3634357 29.8870575
"Africa: Search for Common Ground" 	-2.9814344 23.8222636
"Africa: Search for Common Ground" 	1.4419683 38.4313975
"Africa: Search for Common Ground" 	-29.6039267 28.3350193
"Africa: Search for Common Ground" 	16.3700359 -2.2900239
"Africa: Search for Common Ground" 	-28.8166236 24.991639
"African Explorer" 	-23.2335499 17.3231107
"African Explorer" 	-19.302233 34.9144977
"African Explorer" 	-24.3971609 31.0836913
"African Explorer" 	-26.2071152 28.4402132
"African Explorer" 	-19.3071766 23.186868947839166
"African Explorer" 	-24.9456508 31.4702162
"African Explorer" 	-23.0 22.0
"African Explorer" 	-6.5247123 35.7878438
"African Explorer" 	-28.8166236 24.991639
"African Explorer" 	-30.2190649 30.7905356
"African Explorer" 	-24.414688 31.1580997
"African Explorer" 	-21.853258150000002 35.43817830065676
"African Explorer" 	-3.0764084 37.3539987
"African Explorer" 	-23.915303350000002 31.49070131950694
"African Explorer" 	-29.6039267 28.3350193
"African Explorer" 	-20.2759451 57.5703566
"African Explorer" 	-23.1681782 24.5928742
"African Explorer" 	-28.8166236 24.991639
"African Explorer" 	-9.9999999 69.9999999
"African Explorer" 	-18.4554963 29.7468414
"Africans in America: America\'s Journey Through Slavery" 	54.7023545 -3.2765753
"Africans in America: America\'s Journey Through Slavery" 	8.0300284 -1.0800271
"Africans in America: America\'s Journey Through Slavery" 	39.7837304 -100.4458825
"Agigma psyhis" 	37.9841493 23.7279843
"Agigma psyhis" 	39.8531817 20.7651796
"Agigma psyhis" 	39.6639818 20.8522784
"Agigma psyhis" 	39.6639818 20.8522784
"Agigma psyhis" 	38.9953683 21.9877132
"Agigma psyhis" 	38.9953683 21.9877132
"Agigma psyhis" 	39.9675882 20.6712129
"Agigma psyhis" 	38.9953683 21.9877132
"Ah bir zengin olsam" 	41.0766019 29.052495
"Air America" 	34.4458248 -119.0779359
"Air America" 	34.4458248 -119.0779359
"Air America" 	39.7837304 -100.4458825
"Air America" 	39.7837304 -100.4458825
"Air America" 	39.7837304 -100.4458825
"Air America" 	34.4458248 -119.0779359
"Air America" 	39.7837304 -100.4458825
"Air America" 	34.4458248 -119.0779359
"Air America" 	39.7837304 -100.4458825
"Air America" 	34.4458248 -119.0779359
"Air America" 	39.7837304 -100.4458825
"Air America" 	34.4458248 -119.0779359
"Air America" 	39.7837304 -100.4458825
