"\'More strasti\'" 	42.9868853 19.5180992
"100 Greatest Artists of Hard Rock" 	34.0536909 -118.2427666
"100 Greatest Artists of Hard Rock" 	40.7127281 -74.0060152
"106 & Park Top 10 Live" 	40.7127281 -74.0060152
"106 & Park Top 10 Live" 	40.76953315 -73.99067563237543
"18 Wheels of Justice" 	32.7174209 -117.1627714
"2000 Jahre Christentum" 	14.5589875 -90.7333258
"2000 Jahre Christentum" 	15.6356088 -89.8988087
"2000 Jahre Christentum" 	15.6356088 -89.8988087
"2000 Presidential Debates" 	42.3602534 -71.0582912
"2000 Presidential Debates" 	36.0998131 -80.2440518
"2000 Presidential Debates" 	38.6268039 -90.1994097
"2gether: The Series" 	49.25109285 -122.89561845230483
"2gether: The Series" 	49.2608724 -123.1139529
"2gether: The Series" 	49.2608724 -123.1139529
"7 Numara" 	38.9597594 34.9249653
"7 Numara" 	38.9597594 34.9249653
"70 m�n�tur" 	64.9841821 -18.1059013
"A Dinner of Herbs" 	55.09961135 -1.8630407
"A Dinner of Herbs" 	55.432218000000006 -1.7493925484752704
"A Dinner of Herbs" 	54.6143136 -2.9420983340597866
"A Dinner of Herbs" 	54.9391774 -1.5948711848097146
"A History of Britain" 	49.18654545 -0.3526498293128191
"A History of Britain" 	46.603354 1.8883335
"A History of Britain" 	54.7023545 -3.2765753
"A History of Britain" 	56.5586729 -2.5815669
"A History of Britain" 	56.0908921 -3.9132272
"A History of Britain" 	51.50455425 -0.12591397129997825
"A History of Britain" 	50.9404529 0.3699899035008595
"A History of Britain" 	53.264834199999996 -4.090545597557474
"A History of Britain" 	51.688859550000004 -2.456937044412867
"A History of Britain" 	55.774760900000004 -2.0380734299210173
"A History of Britain" 	51.5073219 -0.1276474
"A History of Britain" 	52.9201851 0.9464760777836205
"A History of Britain" 	53.3943509 -3.0191569
"A History of Britain" 	51.4663175 0.0085624
"A History of Britain" 	51.833333 -1.25
"A History of Britain" 	42.3602534 -71.0582912
"A History of Britain" 	55.8024749 -4.0677833
"A History of Britain" 	51.7256209 0.9042368
"A History of Britain" 	51.833333 -1.25
"A History of Britain" 	51.5073219 -0.1276474
"A History of Britain" 	53.139345399999996 -4.276846019370448
"A History of Britain" 	51.6723809 -3.178393772876317
"A History of Britain" 	22.5677459 88.3476023
"A History of Britain" 	54.8948478 -2.9362311
"A History of Britain" 	54.7136165 -5.8073112
"A History of Britain" 	52.824694199999996 -2.0074546723348115
"A History of Britain" 	51.2443661 0.08329895334931742
"A History of Britain" 	51.2474823 0.7105077
"A History of Britain" 	13.0801721 80.2838331
"A History of Britain" 	54.7023545 -3.2765753
"A History of Britain" 	47.1667182 0.2402095
"A History of Britain" 	48.8964741 -0.1999129
"A History of Britain" 	48.8566969 2.3514616
"A History of Britain" 	53.2811822 -3.8287012
"A History of Britain" 	50.638888 -2.0572257
"A History of Britain" 	52.865196 -7.9794599
"A History of Britain" 	57.4798607 -4.08774688666361
"A History of Britain" 	28.6517178 77.2219388
"A History of Britain" 	53.18073485 -3.42004057085016
"A History of Britain" 	54.6143136 -2.9420983340597866
"A History of Britain" 	51.1289759 1.3228764412873386
"A History of Britain" 	53.7149877 -6.3524183
"A History of Britain" 	56.0021385 -2.5158237
"A History of Britain" 	56.3333331 -3.0000001
"A History of Britain" 	52.1228634 -1.4553162
"A History of Britain" 	55.94868985 -3.200410205428727
"A History of Britain" 	52.398669049999995 0.26345712156168066
"A History of Britain" 	51.453488899999996 -1.0318729593399247
"A History of Britain" 	52.0940158 -1.9483083
"A History of Britain" 	53.1185033 -1.5566179305872212
"A History of Britain" 	50.83669175 -0.8100366016558709
"A History of Britain" 	46.603354 1.8883335
"A History of Britain" 	22.55449655 88.33801318408831
"A History of Britain" 	52.25 -0.833333
"A History of Britain" 	54.7023545 -3.2765753
"A History of Britain" 	52.25 -0.833333
"A History of Britain" 	52.333333 0.083333
"A History of Britain" 	51.14804 -2.716577
"A History of Britain" 	56.6669243 -5.0228812
"A History of Britain" 	56.8710714 -5.446437
"A History of Britain" 	51.86733875 -2.2467147448216975
"A History of Britain" 	54.6143136 -2.9420983340597866
"A History of Britain" 	52.2109495 -2.156955513242221
"A History of Britain" 	51.5073219 -0.1276474
"A History of Britain" 	54.9964942 -1.7865646
"A History of Britain" 	51.2715316 -0.3414523511290909
"A History of Britain" 	52.8600007 -4.108845531563849
"A History of Britain" 	51.5375786 -0.9050287
"A History of Britain" 	54.9663377 -2.1195814196552223
"A History of Britain" 	52.30373015 -0.9854799806845125
"A History of Britain" 	51.4622924 -0.1388561
"A History of Britain" 	55.9468342 -3.163671485821115
"A History of Britain" 	52.826829200000006 0.6578567114858349
"A History of Britain" 	51.499425200000005 -0.12444777279476393
"A History of Britain" 	51.65029455 -0.7568840602809316
"A History of Britain" 	28.625283 77.2183628
"A History of Britain" 	39.951123949999996 -75.14954866326528
"A History of Britain" 	22.3511148 78.6677428
"A History of Britain" 	37.2104434 -76.7738928
"A History of Britain" 	54.9795929 -1.493592
