"1-800-Missing" 	43.66996435 -79.33452913814912
"1-800-Missing" 	43.653963 -79.387207
"10-8: Officers on Duty" 	39.7837304 -100.4458825
"10-8: Officers on Duty" 	39.7837304 -100.4458825
"10-8: Officers on Duty" 	34.0536909 -118.2427666
"10-8: Officers on Duty" 	39.7837304 -100.4458825
"10-8: Officers on Duty" 	34.0536909 -118.2427666
"100% mujer" 	19.4326296 -99.1331785
"11 tras el bal�n" 	19.4326296 -99.1331785
"12 corazones" 	-34.9964963 -64.9672817
"2 Wheel Tuesday" 	35.2270869 -80.8431268
"2 vrouwe	-33.928992 18.417396
"2 vrouwe	55.9533456 -3.1883749
"2 vrouwe	18.1850507 -77.3947693
"2 vrouwe	-33.8536692 151.2133527
"20h10 p�tantes" 	47.0805693 2.398932
"20h10 p�tantes" 	46.603354 1.8883335
"20h10 p�tantes" 	47.081548350000006 2.3992121856895707
"20h10 p�tantes" 	43.5515198 7.0134418
"2RSLVJ" 	40.7127281 -74.0060152
"5 minuts m�s" 	41.3828939 2.1774322
"5. b" 	56.6459244 8.932732160154906
"72 Hours: True Crime" 	43.653963 -79.387207
"93 Faubourg Saint-Honor�" 	48.8566969 2.3514616
">Play" 	43.653963 -79.387207
"A Casa das Sete Mulheres" 	-31.7699736 -52.3410161
"A Casa das Sete Mulheres" 	-22.9110137 -43.2093727
"A Diarista" 	-22.9110137 -43.2093727
"A Floresta M�gica" 	38.7077507 -9.1365919
"A House That\'s Just Like Yours" 	51.5073219 -0.1276474
"A House That\'s Just Like Yours" 	51.3066341 -0.7166168
"A House That\'s Just Like Yours" 	51.546055800000005 -0.2537791389340719
"A Minute with Stan Hooper" 	39.7837304 -100.4458825
"A World in Arms" 	46.603354 1.8883335
"A Year in Tuscany" 	43.4586541 11.1389204
"A contracorrent" 	41.3828939 2.1774322
"A la vuelta de la esquina" 	19.4326296 -99.1331785
"A-lien & B-lien" 	51.0834196 10.4234469
"A.G.A." 	38.9597594 34.9249653
"A.U.S.A." 	39.7837304 -100.4458825
"A.U.S.A." 	34.0536909 -118.2427666
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"AV Squad" 	40.7127281 -74.0060152
"Aandhi" 	18.9387711 72.8353355
"Aap Jo Bolen Haan Toh Haan" 	18.9387711 72.8353355
"Abby" 	34.0536909 -118.2427666
"Abby" 	34.0536909 -118.2427666
"Ablam b�yle istedi" 	41.0766019 29.052495
"About Us" 	47.6038321 -122.3300624
"About Us" 	47.6038321 -122.3300624
"About Us" 	46.854452550000005 -121.70658147767665
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
"Abre tus ojos" 	-34.9964963 -64.9672817
