"$25 Million Dollar Hoax" 	32.7174209 -117.1627714
"\'Wag kukurap" 	12.7503486 122.7312101
"...Amb Manel Fuentes" 	41.3828939 2.1774322
"10.5" 	34.1340991 -118.3216523
"10.5" 	49.2608724 -123.1139529
"100 Greatest Discoveries" 	39.284749399999995 -76.62047463969989
"100 Greatest Discoveries" 	38.8051426 -77.0383022
"100 Greatest Discoveries" 	38.803929 -76.8518695
"100 Greatest Discoveries" 	38.1495947 -79.072557
"100 Greatest Discoveries" 	38.8948932 -77.0365529
"100 Greatest Stand-Ups of All Time" 	34.093214 -118.3196124
"100 Proof" 	34.0536909 -118.2427666
"100 Proof" 	25.7742658 -80.1936589
"100 Proof" 	40.7127281 -74.0060152
"100 h�jdare" 	59.6749712 14.5208584
"100 h�jdare" 	59.6749712 14.5208584
"100 h�jdare" 	37.8708393 -122.2728639
"100 h�jdare" 	27.7567667 -81.4639835
"100 h�jdare" 	34.0536909 -118.2427666
"100 h�jdare" 	36.1556805 -95.9929113
"100 h�jdare" 	35.2072185 -101.8338246
"100 h�jdare" 	35.2072185 -101.8338246
"100 h�jdare" 	35.2153299 -99.8664925
"100 h�jdare" 	38.0464066 -84.4970393
"100 h�jdare" 	34.0536909 -118.2427666
"100 h�jdare" 	34.1282559 -83.5753386
"100 h�jdare" 	40.7788486 -99.7414869
"100 h�jdare" 	31.8295972 -86.6177517
"10i entoli" 	37.9841493 23.7279843
"110% Tony Squires" 	-33.8536692 151.2133527
"12 corazones" 	34.0536909 -118.2427666
"15/Love" 	61.0666922 -107.9917071
"15/Love" 	61.0666922 -107.9917071
"18 - Allein unter M�dchen" 	51.0834196 10.4234469
"18 - Allein unter M�dchen" 	51.0834196 10.4234469
"2004 Jammys: The Theatre at Madison Square Garden" 	40.7896239 -73.9598939
"2004 Presidential Debates" 	25.690551499999998 -80.23500897983699
"2004 Presidential Debates" 	38.6268039 -90.1994097
"2004 Presidential Debates" 	33.4255056 -111.9400125
"2004 UEFA European Football Championship" 	37.0162727 -7.9351771
"2004 UEFA European Football Championship" 	40.0332629 -7.8896263
"2004 UEFA European Football Championship" 	40.0332629 -7.8896263
"2004 UEFA European Football Championship" 	40.0332629 -7.8896263
"2004 UEFA European Football Championship" 	40.0332629 -7.8896263
"2004 UEFA European Football Championship" 	40.0332629 -7.8896263
"2004 UEFA European Football Championship" 	40.0332629 -7.8896263
"2004 UEFA European Football Championship" 	40.0332629 -7.8896263
"2004 UEFA European Football Championship" 	40.0332629 -7.8896263
"2004 World Series of Poker" 	36.1672559 -115.1485163
