"$5 Cover" 	35.1490215 -90.0516285
"$5 Cover" 	35.7730076 -86.2820081
"$5 Cover" 	35.7730076 -86.2820081
"$5 Cover" 	35.7730076 -86.2820081
"$5 Cover" 	35.7730076 -86.2820081
"$5 Cover" 	35.7730076 -86.2820081
"$5 Cover" 	35.7730076 -86.2820081
"$5 Cover: Seattle" 	47.6038321 -122.3300624
"\'80s Videos: A to Z" 	34.0250724 -118.4965129
"\'n Shrink" 	30.2711286 -97.7436995
"\'n Shrink" 	30.2711286 -97.7436995
"1 Girl 5 Gays" 	43.653963 -79.387207
"1-2-3 Istanbul!" 	42.446600000000004 27.20620689265119
"1-2-3 Istanbul!" 	41.0766019 29.052495
"1-2-3 Istanbul!" 	46.0499803 14.5068602
"1-2-3 Istanbul!" 	43.1908018 17.6778263
"1-2-3 Istanbul!" 	43.3416104 17.8030427
"1-2-3 Istanbul!" 	43.8519774 18.3866868
"1-2-3 Istanbul!" 	42.2507677 19.595972310041383
"1-2-3 Istanbul!" 	41.9960924 21.4316495
"1-2-3 Istanbul!" 	41.31588575 19.900912164461147
"1-2-3 Istanbul!" 	45.813177 15.977048
"10 Minute Tales" 	51.2715316 -0.3414523511290909
"10 Minute Tales" 	51.5432402 -0.0493621
"10 Minute Tales" 	51.840052299999996 -0.09785519224523963
"10 Things I Hate About You" 	34.0536909 -118.2427666
"10" 	3.1516964 101.6942371
"100 mexicanos dijieron" 	19.4326296 -99.1331785
"1066" 	54.5801786 -1.1761942
"1066" 	54.5801786 -1.1761942
"1066" 	54.5801786 -1.1761942
"12th IAAF World Championships in Athletics Berlin 2009" 	52.5147077 13.239776301622072
"13 News This Morning" 	39.049011 -95.677556
"13: Fear Is Real" 	39.7837304 -100.4458825
"1810" 	-33.6348808 -70.5729961
"2+Leif" 	52.539321349999994 13.413965534751178
"2+Leif" 	51.0834196 10.4234469
"2+Leif" 	51.0834196 10.4234469
"20 a�os de emociones" 	40.4167047 -3.7035825
"2	52.5170365 13.3888599
"2	51.3406321 12.3747329
"2009 World Series of Poker" 	36.1672559 -115.1485163
"20Q" 	34.0536909 -118.2427666
"21 Cards" 	44.7308229 -93.473359
"219 West" 	40.7127281 -74.0060152
"23-F: El d�a m�s dif�cil del Rey" 	41.5421013 2.1138977
"3 Fat Guys" 	34.5258335 -82.652962
"30 for 30" 	30.2711286 -97.7436995
"30 for 30" 	21.48349555 -158.03640389298
"30 for 30" 	21.48349555 -158.03640389298
"30 for 30" 	21.48349555 -158.03640389298
"30 for 30" 	61.0666922 -107.9917071
"30 for 30" 	45.421106 -75.690308
"30 for 30" 	43.773077 -79.257774
"30 for 30" 	43.653963 -79.387207
"30 for 30" 	34.0536909 -118.2427666
"30 for 30" 	44.024322850000004 21.07657433209902
"30 for 30" 	45.813177 15.977048
"30 for 30" 	41.86245145 -87.61671514704074
"30 for 30" 	25.8575963 -80.2781057
"30 for 30" 	24.9242995 -80.6278404
"30 for 30" 	25.7929198 -80.1353006
"30 for 30" 	25.7742658 -80.1936589
"30 for 30" 	33.4484367 -112.0741417
"30 for 30" 	33.4255056 -111.9400125
"30 for 30" 	26.7153425 -80.0533746
"30 for 30" 	32.7762719 -96.7968559
"4 Singles" 	50.938361 6.959974
"4th and Long" 	32.7762719 -96.7968559
"50ToDeath" 	40.7127281 -74.0060152
":30 Seconds" 	-33.8536692 151.2133527
"A Demon\'s Destiny: The Lone Warrior" 	34.2148853 -118.4998204
"A Few Good Men & Women" 	50.44876 -104.61731
"A Few Good Men & Women" 	52.131802 -106.660767
"A Few Good Men & Women" 	50.401515 -105.542908
"A Fool\'s Idea" 	40.7127281 -74.0060152
"A Fool\'s Idea" 	40.7127281 -74.0060152
"A Fool\'s Idea" 	40.7127281 -74.0060152
"A Fool\'s Idea" 	40.7127281 -74.0060152
"A Fool\'s Idea" 	40.7127281 -74.0060152
"A Fool\'s Idea" 	40.7127281 -74.0060152
"A Fool\'s Idea" 	40.7127281 -74.0060152
"A Fool\'s Idea" 	41.3828939 2.1774322
"A Fool\'s Idea" 	41.3828939 2.1774322
"A Fool\'s Idea" 	40.7127281 -74.0060152
"A Fool\'s Idea" 	40.7127281 -74.0060152
"A Lei e o Crime" 	-22.9110137 -43.2093727
"A Minha Fam�lia" 	40.0332629 -7.8896263
"A Nation in Reserve" 	31.5313113 34.8667654
"A Passion 4Fashion TV" 	42.3602534 -71.0582912
"A Passion 4Fashion TV" 	40.7127281 -74.0060152
"A Passion 4Fashion TV" 	34.0536909 -118.2427666
"A Passion 4Fashion TV" 	25.7742658 -80.1936589
"A Pries	51.0534234 -114.0625892
"A Pries	53.535411 -113.507996
"A Seat Apart: Reel Reviews" 	42.3788774 -72.032366
"A Seat Apart: Reel Reviews" 	34.0536909 -118.2427666
"A Vida Privada de Salazar" 	38.7077507 -9.1365919
"A Woman\'s Story" 	40.0332629 -7.8896263
"A comer con Coca Cola" 	19.4326296 -99.1331785
"A escena" 	41.3805074 2.1712448
"A escena" 	41.38309815 2.1667598125184617
"A escena" 	41.3704906 2.1574908
"A escena" 	41.3828939 2.1774322
"A escena" 	41.420117399999995 2.1899163020338577
"A escena" 	41.3805074 2.1712448
"A escena" 	41.3828939 2.1774322
