"\' Horse Trials \'" 	52.7954791 -0.5402402866174321
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"10 O\'Clock Live" 	51.5073219 -0.1276474
"100 Calabazas" 	40.4167047 -3.7035825
"111 Emergency" 	-36.852095 174.7631803
"13th IAAF World Championships in Athletics Daegu 2011" 	36.5581914 127.9408564
"180 Degree" 	41.31588575 19.900912164461147
"180 Degree" 	43.653963 -79.387207
"19-2" 	61.0666922 -107.9917071
"19-2" 	61.0666922 -107.9917071
"19-2" 	61.0666922 -107.9917071
"19-2" 	61.0666922 -107.9917071
"19-2" 	61.0666922 -107.9917071
"19-2" 	61.0666922 -107.9917071
"19-2" 	61.0666922 -107.9917071
