"#ByMySide" 	42.6384261 12.674297
"#LakeShow" 	33.917028 -118.4156337
"#LdnOnt" 	42.988576 -81.246643
"#NerdNoise" 	34.0536909 -118.2427666
"10 Reviews in 10 Minutes" 	52.628606 1.29227
"10 Reviews in 10 Minutes" 	52.628606 1.29227
"10 Things I Hate" 	38.8948932 -77.0365529
"10 Things I Hate" 	47.1703692 -122.5962874
"10 Things I Hate" 	36.9742884 -118.2109916
"100 Bullets D\'Argento" 	41.8933203 12.4829321
"1001 Things You Should Know" 	55.8609825 -4.2488787
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"1002 Momentos de la tele" 	-34.9964963 -64.9672817
"13 Steps Down" 	51.5109995 -0.2055267
"13 Steps Down" 	52.865196 -7.9794599
"13 Steps Down" 	52.7954791 -0.5402402866174321
"13 Steps Down" 	52.7954791 -0.5402402866174321
"2 Shot the Show" 	40.7127281 -74.0060152
"2012 ECAC Men\'s Hockey Championship" 	39.3642852 -74.4229351
"2012 Presidential Debates" 	39.7348381 -104.9653271
"2012 Presidential Debates" 	40.7063185 -73.618684
"2012 Presidential Debates" 	39.7837304 -100.4458825
"2012 Stanley Cup Finals" 	34.0536909 -118.2427666
"2012 Stanley Cup Finals" 	40.733404699999994 -74.17116464386132
"2012 Stanley Cup Finals" 	40.733404699999994 -74.17116464386132
"2012 Stanley Cup Finals" 	40.733404699999994 -74.17116464386132
"2012 Stanley Cup Finals" 	39.7837304 -100.4458825
"2012 Stanley Cup Finals" 	39.7837304 -100.4458825
"2012 Stanley Cup Finals" 	40.733404699999994 -74.17116464386132
"2012 Stanley Cup Finals" 	34.0536909 -118.2427666
"2012 UEFA European Football Championship" 	52.2204245 21.040728759136584
"2012 UEFA European Football Championship" 	54.36143405 18.62821847557274
"2012 UEFA European Football Championship" 	51.1436468 16.9508397
"2012 UEFA European Football Championship" 	52.39576395 16.863460983817166
"2012 UEFA European Football Championship" 	50.433544499999996 30.52133693277559
"2012 UEFA European Football Championship" 	49.4871968 31.2718321
"2012 UEFA European Football Championship" 	49.980863 36.26157596317647
"2012 UEFA European Football Championship" 	49.8055205 23.973569165549602
"2012 World Series" 	37.7790262 -122.4199061
"2012 World Series" 	42.3315509 -83.0466403
"2012 World Series" 	37.7811362 -122.457083
"2012 World Series" 	37.7811362 -122.457083
"2012 World Series" 	42.3315509 -83.0466403
"2012 World Series" 	42.3315509 -83.0466403
"21 Days of Seaton" 	38.0464066 -84.4970393
"23 pares" 	-34.9964963 -64.9672817
"23 pares" 	-34.9964963 -64.9672817
"23 pares" 	-34.9964963 -64.9672817
"23 pares" 	-34.9964963 -64.9672817
"23 pares" 	-34.9964963 -64.9672817
"23 pares" 	-34.9964963 -64.9672817
"23 pares" 	-34.9964963 -64.9672817
"23 pares" 	-34.9964963 -64.9672817
"23 pares" 	-34.9964963 -64.9672817
"23 pares" 	-34.9964963 -64.9672817
"23 pares" 	-34.9964963 -64.9672817
"23 pares" 	-34.9964963 -64.9672817
"23 pares" 	-34.9964963 -64.9672817
"23 pares" 	-34.9964963 -64.9672817
"25 and Married" 	29.7589382 -95.3676974
"2613" 	18.9387711 72.8353355
"3 Audrey" 	42.988576 -81.246643
"3 Cousins" 	41.8933203 12.4829321
"3 Cousins" 	34.0536909 -118.2427666
"3 Strikes" 	34.0536909 -118.2427666
"	59.4372155 24.7453688
"	60.5000209 9.0999715
"	60.9838761 25.6561814
"30 Dates to a Soul Mate" 	34.0536909 -118.2427666
"30 d�as juntos" 	-34.9964963 -64.9672817
"30 d�as juntos" 	-34.9964963 -64.9672817
"30 d�as juntos" 	-34.9964963 -64.9672817
"30 d�as juntos" 	-34.9964963 -64.9672817
"30 d�as juntos" 	-34.9964963 -64.9672817
"30 d�as juntos" 	-34.9964963 -64.9672817
"30 d�as juntos" 	-34.9964963 -64.9672817
"30 d�as juntos" 	-34.9964963 -64.9672817
"30 d�as juntos" 	-34.9964963 -64.9672817
"30 d�as juntos" 	-34.9964963 -64.9672817
"30 d�as juntos" 	-34.9964963 -64.9672817
"30 d�as juntos" 	-34.9964963 -64.9672817
"30 d�as juntos" 	-34.9964963 -64.9672817
"30 d�as juntos" 	-34.9964963 -64.9672817
"30 for 30 Shorts" 	36.1672559 -115.1485163
"30 for 30 Shorts" 	40.7127281 -74.0060152
"30 for 30 Shorts" 	39.284749399999995 -76.62047463969989
"30 for 30 Shorts" 	34.0696501 -118.3963062
"30 for 30 Shorts" 	33.7494951 -117.8732213
"30 for 30 Shorts" 	43.0349931 -87.922497
"30 for 30 Shorts" 	46.603354 1.8883335
"30 for 30 Shorts" 	44.9772995 -93.2654692
"30 for 30 Shorts" 	39.100105 -94.5781416
"30" 	34.0536909 -118.2427666
"30� i februari" 	7.9366015 98.3529292
"30� i februari" 	59.6749712 14.5208584
"360TV" 	34.0536909 -118.2427666
"3SG: The Webseries" 	34.0536909 -118.2427666
"4 Points" 	34.1816482 -118.3258554
"4 minutos con chef Trevi�o" 	18.465299 -66.116666
"40" 	34.0211224 -118.3964665
"42 Seconds of Happiness" 	40.7127281 -74.0060152
"4X 	31.5313113 34.8667654
"50 Euro Star Style" 	51.0834196 10.4234469
"6 passi nel giallo" 	35.8885993 14.4476911
"6 passi nel giallo" 	35.8885993 14.4476911
"6 passi nel giallo" 	35.8885993 14.4476911
"6 passi nel giallo" 	35.8885993 14.4476911
"6 passi nel giallo" 	35.8885993 14.4476911
"6 passi nel giallo" 	35.8885993 14.4476911
"64 postures" 	41.3828939 2.1774322
"666 Park Avenue" 	40.7127281 -74.0060152
"666 Park Avenue" 	40.7127281 -74.0060152
"666 Park Avenue" 	40.7127281 -74.0060152
"666 Park Avenue" 	40.7127281 -74.0060152
"666 Park Avenue" 	40.7127281 -74.0060152
"666 Park Avenue" 	40.7127281 -74.0060152
"666 Park Avenue" 	40.7127281 -74.0060152
"666 Park Avenue" 	40.7127281 -74.0060152
"666 Park Avenue" 	40.7127281 -74.0060152
"666 Park Avenue" 	40.7127281 -74.0060152
"666 Park Avenue" 	40.7127281 -74.0060152
"666 Park Avenue" 	40.7127281 -74.0060152
"666 Park Avenue" 	40.7127281 -74.0060152
"666 Park Avenue" 	40.7127281 -74.0060152
"666 Park Avenue" 	40.7127281 -74.0060152
"7neen" 	46.137977 -60.194092
":Presentes" 	-34.9964963 -64.9672817
":Presentes" 	-34.9964963 -64.9672817
":Presentes" 	-34.9964963 -64.9672817
":Presentes" 	-34.9964963 -64.9672817
":Presentes" 	-34.9964963 -64.9672817
":Presentes" 	-34.9964963 -64.9672817
":Presentes" 	-34.9964963 -64.9672817
":Presentes" 	-34.9964963 -64.9672817
":Presentes" 	-34.9964963 -64.9672817
":Presentes" 	-34.9964963 -64.9672817
":Presentes" 	-34.9964963 -64.9672817
":Presentes" 	-34.9964963 -64.9672817
":Presentes" 	-34.9964963 -64.9672817
":Presentes" 	-34.9964963 -64.9672817
":Presentes" 	-34.9964963 -64.9672817
":Presentes" 	-34.9964963 -64.9672817
":Presentes" 	-34.9964963 -64.9672817
":Presentes" 	-34.9964963 -64.9672817
":Presentes" 	-34.9964963 -64.9672817
":Presentes" 	-34.9964963 -64.9672817
"A Brilliant Road Trip" 	-41.1797561 146.3613011
"A Brilliant Road Trip" 	-41.3870316 146.1748539
"A Brilliant Road Trip" 	-41.6846445 145.9513044
