"#2WheelzNHeelz" 	36.1622296 -86.7743531
"#BreakfastClub" 	40.7127281 -74.0060152
"#BreakfastClub" 	34.0536909 -118.2427666
"#CaptchaLA" 	34.0536909 -118.2427666
"#Hashtag Travel UK" 	52.7954791 -0.5402402866174321
"#Hashtag Travel" 	41.31611085 -74.12629189225156
"#Hashtag Travel" 	41.4200938 -73.9545831
"#Hashtag Travel" 	41.504879 -73.9696822
"#Hashtag Travel" 	41.5355745 -73.898702
"#Hashtag Travel" 	41.5965635 -73.9112103
"#Hashtag Travel" 	41.7065779 -73.9284101
"#Mittelfingerspitzengef�hl" 	51.0834196 10.4234469
"#Mittelfingerspitzengef�hl" 	52.5001698 5.7480821
"#Murder" 	35.9603948 -83.9210261
"#VitalSignz" 	43.653963 -79.387207
"$2 Donuts" 	-33.8548157 151.2164539
"\'Frankie & Emma\'" 	51.5073219 -0.1276474
"	51.5073219 -0.1276474
"	40.7720145 -73.9302673
"01.09" 	-10.3333333 -53.2
"10,000 Hours" 	40.6501038 -73.9495823
"10th Ave." 	40.7127281 -74.0060152
"10th Ave." 	40.7453798 -73.9054145
"10th Ave." 	40.7644228 -73.9923918
"10th Ave." 	40.7644228 -73.9923918
"13 Reasons Why" 	38.0954755 -122.2724704
"13 Reasons Why" 	37.9254806 -122.5274755
"13 Reasons Why" 	37.9340915 -122.5352539
"13 Reasons Why" 	37.8816585 -121.9142611
"13 Reasons Why" 	39.7837304 -100.4458825
"13 Reasons Why" 	38.3845125 -122.8332501583744
"13 Reasons Why" 	38.102009025423726 -122.2552046440678
"13 Reasons Why" 	38.1040864 -122.2566367
"13 Reasons Why" 	38.10103169387755 -122.25623224489796
"13 Reasons Why" 	38.270022 -122.60612241304348
"13 Reasons Why" 	37.96767344777568 -122.53365003157839
"13 Reasons Why" 	37.8727044 -122.4644171
"13 Reasons Why" 	38.0525612 -122.2202603
"13 Reasons Why" 	38.0138934 -122.1338674
"13 Reasons Why" 	37.9735346 -122.5310874
"13 Reasons Why" 	38.407358 -122.82468501355999
"13 Reasons Why" 	38.1040864 -122.2566367
"13 Reasons Why" 	37.9735346 -122.5310874
"13 Reasons Why" 	38.407358 -122.82468501355999
"13 Reasons Why" 	38.1040864 -122.2566367
"13 Reasons Why" 	38.270022 -122.60612241304348
"13 Reasons Why" 	37.9735346 -122.5310874
"13 Reasons Why" 	38.407358 -122.82468501355999
"13 Reasons Why" 	38.1040864 -122.2566367
"13 Reasons Why" 	37.9735346 -122.5310874
"13 Reasons Why" 	38.407358 -122.82468501355999
"13 Reasons Why" 	38.1040864 -122.2566367
"13 Reasons Why" 	37.9735346 -122.5310874
"13 Reasons Why" 	38.407358 -122.82468501355999
"13 Reasons Why" 	38.1040864 -122.2566367
"13 Reasons Why" 	37.9735346 -122.5310874
"13 Reasons Why" 	38.407358 -122.82468501355999
"13 Reasons Why" 	38.1040864 -122.2566367
"13 Reasons Why" 	37.9735346 -122.5310874
"13 Reasons Why" 	38.0954755 -122.2724704
"13 Reasons Why" 	38.407358 -122.82468501355999
"13 Reasons Why" 	38.1040864 -122.2566367
"13 Reasons Why" 	37.9735346 -122.5310874
"13 Reasons Why" 	38.407358 -122.82468501355999
"13 Reasons Why" 	38.1040864 -122.2566367
"13 Reasons Why" 	37.9735346 -122.5310874
"13 Reasons Why" 	38.407358 -122.82468501355999
"13 Reasons Why" 	39.7837304 -100.4458825
"13 Reasons Why" 	37.9735346 -122.5310874
"13 Reasons Why" 	38.407358 -122.82468501355999
"13 Reasons Why" 	38.1040864 -122.2566367
"13 Reasons Why" 	37.9735346 -122.5310874
"13 Reasons Why" 	38.407358 -122.82468501355999
"13 Reasons Why" 	39.7837304 -100.4458825
"13 Reasons Why" 	37.9735346 -122.5310874
"13 Reasons Why" 	38.407358 -122.82468501355999
"13 Reasons Why" 	38.1040864 -122.2566367
"13 Reasons Why" 	37.9735346 -122.5310874
"13 Reasons Why" 	38.407358 -122.82468501355999
"13 Reasons Why" 	38.1040864 -122.2566367
"138 Escape" 	53.2164468 -3.1401395293792307
"138 Escape" 	53.1883306 -3.1351322
"138 Escape" 	53.407154 -2.991665
"138 Escape" 	53.4794892 -2.2451148
"1491: The Untold Story of the Americas Before Columbus" 	48.4283182 -123.3649533
"1491: The Untold Story of the Americas Before Columbus" 	50.6758269 -120.3394159
"1491: The Untold Story of the Americas Before Columbus" 	-6.8699697 -75.0458515
"2 gars 30 jours" 	40.7127281 -74.0060152
"2 gars 30 jours" 	61.0666922 -107.9917071
"200 Million Years Old Classmate" 	35.000074 104.999927
"200 Million Years Old Classmate" 	36.0638034 120.3781372
"2017 World Series" 	34.0536909 -118.2427666
"2017 World Series" 	34.0536909 -118.2427666
"2017 World Series" 	29.75723205 -95.35523391491142
"2017 World Series" 	29.75723205 -95.35523391491142
"2017 World Series" 	29.75723205 -95.35523391491142
"2017 World Series" 	34.0536909 -118.2427666
"2017 World Series" 	34.0536909 -118.2427666
"2Real4U" 	41.10280342857143 -80.69340700000001
"2Real4U" 	41.07039648979592 -80.67517979591837
"2Real4U" 	41.11404236734694 -80.66118769387755
"2Real4U" 	41.1035786 -80.6520161
"2nd Chance" 	34.0536909 -118.2427666
"2nd Time Around" 	34.21390310067679 -118.47483889800297
"3 Degrees" 	32.7174209 -117.1627714
"30 Seconds in Paris" 	48.8566969 2.3514616
"30 Seconds in Paris" 	48.8682496 2.3663122
"30 and Booked" 	34.093214 -118.3196124
"3D Print the Future" 	35.2888061 -80.7584139
"48 Steps" 	34.1729044 -118.3740371
"48 Steps" 	34.1816482 -118.3258554
"4Play" 	41.1494512 -8.6107884
"52 Dage som hjeml�s" 	55.6867243 12.5700724
"5vor12" 	47.6737001 12.0148837
"600 Bottles of Wine" 	-33.8536692 151.2133527
"702" 	-22.9110137 -43.2093727
"7YUZ" 	41.0766019 29.052495
"99 Problems" 	59.6749712 14.5208584
"9JKL" 	39.7837304 -100.4458825
"A Beautiful Cruel Thing" 	25.7742658 -80.1936589
"A Bedroom Boy\'s Best" 	32.3512601 -95.3010624
"A Billion to One" 	42.3315509 -83.0466403
"A Billion to One" 	45.7578137 4.8320114
"A Billion to One" 	25.0657 55.1713
"A Billion to One" 	24.4768783 90.2932426
"A Blind Eye" 	32.534836 -111.4397818
"A Blind Eye" 	34.0536909 -118.2427666
"A Cria��o" 	38.7077507 -9.1365919
"A Dirty Filmmaker PSA" 	34.0536909 -118.2427666
"A Escola dos Misterios" 	-10.3333333 -53.2
"A Fam�lia Ventura" 	38.7077507 -9.1365919
"A Five Star Option" 	27.7567667 -81.4639835
"A Grande Viagem" 	-10.3333333 -53.2
"A Guide to Dating" 	34.0536909 -118.2427666
"A Guide to Grocery Shopping" 	34.1816482 -118.3258554
"A Herdeira" 	40.0332629 -7.8896263
"A Herdeira" 	41.6871511 -8.7896606
"A Herdeira" 	42.2737863 -8.6163998
"A Herdeira" 	19.4326296 -99.1331785
"A Herdeira" 	40.0332629 -7.8896263
"A Herdeira" 	40.0332629 -7.8896263
"A Herdeira" 	40.0332629 -7.8896263
"A Herdeira" 	42.4318876 -8.6431592
"A Herdeira" 	40.0332629 -7.8896263
"A Herdeira" 	40.0332629 -7.8896263
"A Hundred Indecisions" 	39.7837304 -100.4458825
"A Just Cause" 	33.7490987 -84.3901849
"A Series of Unfortunate Events" 	49.2608724 -123.1139529
"A Series of Unfortunate Events" 	49.2608724 -123.1139529
"A Series of Unfortunate Events" 	49.2608724 -123.1139529
"A Series of Unfortunate Events" 	49.2608724 -123.1139529
"A Series of Unfortunate Events" 	49.2608724 -123.1139529
"A Series of Unfortunate Events" 	49.2608724 -123.1139529
"A Series of Unfortunate Events" 	49.2608724 -123.1139529
"A Series of Unfortunate Events" 	49.2608724 -123.1139529
"A Series of Unfortunate Events" 	49.2608724 -123.1139529
"A Series of Unfortunate Events" 	49.2608724 -123.1139529
"A Series of Unfortunate Events" 	49.2608724 -123.1139529
"A Series of Unfortunate Events" 	49.2608724 -123.1139529
