"#WarGames" 	40.84348675 -73.62581450092935
"#WarGames" 	40.7127281 -74.0060152
"12 to Midnight" 	34.53136015 -118.60729258562515
"20 NOTHiNGS" 	34.0536909 -118.2427666
"20 Something" 	33.5206824 -86.8024326
"5000 Years of Heroes" 	43.653963 -79.387207
"8 Ball Garage" 	25.7742658 -80.1936589
"8 Ball Garage" 	25.7742658 -80.1936589
"86 & Lex" 	40.7127281 -74.0060152
"9-1-1: What\'s Your Emergency?" 	32.7589648 -97.7970748
"9-1-1: What\'s Your Emergency?" 	32.8084605 -98.1128223
"9-1-1: What\'s Your Emergency?" 	32.97067175 -97.68392100646909
"9-1-1: What\'s Your Emergency?" 	39.7837304 -100.4458825
"A Scottish Play" 	32.7762719 -96.7968559
"Above the Fold" 	51.5073219 -0.1276474
"Acht Tage" 	48.9467562 11.4038717
"Acht Tage" 	48.9467562 11.4038717
"Acht Tage" 	48.9467562 11.4038717
"Acht Tage" 	48.9467562 11.4038717
"Acht Tage" 	48.9467562 11.4038717
"Acht Tage" 	48.9467562 11.4038717
"Acht Tage" 	48.9467562 11.4038717
"Acht Tage" 	48.9467562 11.4038717
"Adrenaline Junkies" 	34.2440587 -116.9101808
"Adrenaline Junkies" 	33.6980288 -117.2176473
"Adrenaline Junkies" 	32.7174209 -117.1627714
"After Nightfall" 	-33.7791699 150.92015643389993
"After Nightfall" 	-33.76009165 151.1708147392518
"After Nightfall" 	-33.7791699 150.92015643389993
"After Nightfall" 	-33.76009165 151.1708147392518
"After Nightfall" 	-33.7791699 150.92015643389993
"After Nightfall" 	-33.8536692 151.2133527
"After Nightfall" 	-33.7791699 150.92015643389993
"After Nightfall" 	-33.76009165 151.1708147392518
"After Nightfall" 	-33.7791699 150.92015643389993
"After Nightfall" 	-33.8536692 151.2133527
"After Nightfall" 	-33.7791699 150.92015643389993
"After Nightfall" 	-33.76009165 151.1708147392518
"Agency 48" 	33.7490987 -84.3901849
"Agency 48" 	32.0809263 -81.0911768
"Agency 48" 	33.7490987 -84.3901849
"Agent" 	-20.2759451 57.5703566
"Airlines of the World" 	55.4792046 37.3273304
"Airlines of the World" 	32.737242 -97.232572
"Airlines of the World" 	51.5073219 -0.1276474
"Airlines of the World" 	33.7490987 -84.3901849
"Airlines of the World" 	35.6828387 139.7594549
"Airlines of the World" 	50.04303025 8.567283919206004
"Airlines of the World" 	-33.8536692 151.2133527
"Airlines of the World" 	1.352516 103.98700696741236
"Airlines of the World" 	41.8755616 -87.6244212
"Almost Spies" 	38.8903961 -77.0841585
"Altered Carbon" 	49.2608724 -123.1139529
"American Road Trip" 	32.0809263 -81.0911768
"American Road Trip" 	35.2270869 -80.8431268
"American Road Trip" 	38.6920451 -75.4013315
"American Road Trip" 	40.4416941 -79.9900861
"American Road Trip" 	40.7399785 -84.105006
"American Road Trip" 	34.5258335 -82.652962
"American Road Trip" 	40.3267407 -78.9219698
"American Road Trip" 	38.029306 -78.4766781
